Date	Time	sina	sohu
120208	84502	66.62	52.19
120208	84602	66.63	52.465
120208	84702	66.6	52.57
120208	84802	66.88	52.45
120208	84902	67.05	52.5702
120208	85002	67.22	52.46
120208	85102	67.35	52.49
120208	85202	67.3719	52.8
120208	85302	67.49	53.01
120208	85402	67.48	53.22
120208	85502	67.37	53.3
120208	85602	67.34	53.36
120208	85702	67.36	53.5
120208	85802	67.4192	53.57
120208	85902	67.4	53.5
120208	90002	67.12	53.314
120208	90102	67.08	53.2232
120208	90202	67	53.26
120208	90302	67.061	53.1
120208	90402	67.0708	53.03
120208	90502	66.95	53.04
120208	90602	66.85	52.96
120208	90702	66.92	53.11
120208	90802	66.85	53.16
120208	90902	66.71	53.01
120208	91102	66.8	53.15
120208	91202	66.68	53.145
120208	91302	66.45	53.07
120208	91402	66.6993	53.011
120208	91502	66.53	53.05
120208	91602	66.72	53.09
120208	91702	66.83	53.07
120208	105550	65.39	52.13
120208	105650	65.3	52.09
120208	105750	65.34	52.035
120208	105850	65.42	52.31
120208	105950	65.33	52.45
120208	110050	65.2	52.46
120208	110150	65.43	52.43
120208	110250	65.44	52.4625
120208	110350	65.28	52.52
120208	110450	65.33	52.45
120208	110550	65.25	52.3257
120208	110650	65.26	52.36
120208	110750	65.362	52.27
120208	110850	65.36	52.23
120208	110950	65.48	52.18
120208	111050	65.53	52.24
120208	111150	65.51	52.4
120208	111250	65.47	52.29
120208	111350	65.47	52.31
120208	111450	65.51	52.44
120208	111550	65.59	52.45
120208	111650	65.84	52.55
120208	111750	65.78	52.7
120208	111850	65.75	52.73
120208	111950	65.8	52.73
120208	112050	65.985	52.58
120208	112150	65.96	52.57
120208	112250	65.869	52.54
120208	112350	65.85	52.4619
120208	112450	65.92	52.53
120208	112550	65.952	52.47
120208	112650	66.1	52.5408
120208	112750	66.07	52.57
120208	112850	66.26	52.6
120208	112950	66.281	52.65
120208	113050	66.245	52.5
120208	113150	66.34	52.51
120208	113250	66.3	52.6
120208	113350	66.24	52.62
120208	113450	66.03	52.4892
120208	113550	65.91	52.597
120208	113650	65.9498	52.56
120208	113750	65.99	52.55
120208	113850	66.03	52.55
120208	113950	66.01	52.53
120208	114051	65.94	52.5
120208	114151	65.93	52.43
120208	114251	65.8699	52.44
120208	114351	65.81	52.35
120208	114451	65.75	52.3
120208	114551	65.73	52.25
120208	114651	65.6	52.16
120208	114751	65.6801	52.07
120208	114851	65.4908	51.94
120208	114951	65.7	51.91
120208	115051	65.67	51.87
120208	115151	65.61	51.83
120208	115251	65.56	51.76
120208	115351	65.59	51.85
120208	115451	65.71	51.96
120208	115551	65.88	51.93
120208	115651	65.85	51.88
120208	115751	65.78	51.89
120208	115851	65.81	51.88
120208	115951	65.67	51.87
120208	120051	65.69	51.86
120208	120151	65.67	51.97
120208	120251	65.81	52.03
120208	120351	65.64	51.97
120208	120451	65.59	52.08
120208	120551	65.64	52.0001
120208	120651	65.61	52.01
120208	120751	65.66	52.05
120208	120851	65.67	52.09
120208	120951	65.59	52.09
120208	121051	65.7	52.146
120208	121151	65.8	52.1692
120208	121251	65.84	52.11
120208	121351	65.86	52.14
120208	121451	65.9986	52.14
120208	121551	65.92	52.15
120208	121651	65.83	52.14
120208	121751	65.79	52.14
120208	121851	65.8099	52.15
120208	121951	65.73	52.08
120208	122051	65.75	52.041
120208	122151	65.68	52.06
120208	122251	65.71	52.12
120208	122351	65.75	52.19
120208	122451	65.72	52.156
120208	122551	65.63	52.14
120208	122651	65.56	52.1
120208	122751	65.62	52.09
120208	122851	65.58	52.05
120208	122951	65.51	52.05
120208	123051	65.45	52.04
120208	123151	65.5	52.07
120208	123251	65.4999	52.05
120208	123351	65.55	52.03
120208	123451	65.51	52.06
120208	123551	65.49	52.05
120208	123651	65.55	52.03
120208	123751	65.66	52.06
120208	123851	65.63	52.0208
120208	123951	65.74	52.05
120208	124051	65.75	52.056
120208	124151	65.82	52.06
120208	124251	65.8	52.06
120208	124351	65.76	52.1192
120208	124451	65.88	52.12
120208	124551	65.9	52.08
120208	124651	65.73	52.1
120208	124751	65.66	52.09
120208	124851	65.57	52.07
120208	124951	65.64	52.13
120208	125051	65.77	52.11
120208	125151	65.79	52.15
120208	125251	65.77	52.18
120208	125351	65.81	52.19
120208	125451	65.73	52.2
120208	125551	65.66	52.17
120208	125651	65.66	52.17
120208	125751	65.62	52.17
120208	125851	65.51	52.15
120208	125951	65.5601	52.14
120208	130051	65.58	52.08
120208	130151	65.62	52.1
120208	130251	65.61	52.14
120208	130351	65.58	52.12
120208	130451	65.57	52.1292
120208	130551	65.58	52.1
120208	130651	65.56	52.1
120208	130751	65.57	52.09
120208	130851	65.6	52.11
120208	130951	65.6	52.06
120208	131051	65.65	52.025
120208	131151	65.71	52.04
120208	131251	65.67	52.02
120208	131351	65.65	52.027
120208	131451	65.68	52.13
120208	131551	65.69	52.14
120208	131651	65.78	52.09
120208	131751	65.77	51.95
120208	131851	65.73	51.98
120208	131951	65.671	52.01
120208	132051	65.71	52.01
120208	132151	65.75	52.03
120208	132251	65.79	52.04
120208	132351	65.79	52.07
120208	132451	65.7	52.05
120208	132551	65.7499	52.03
120208	132651	65.73	52.03
120208	132751	65.7	52.039
120208	132851	65.75	52.03
120208	132951	65.67	52
120208	133051	65.71	51.99
120208	133151	65.705	52
120208	133251	65.73	51.99
120208	133351	65.76	51.91
120208	133451	65.79	51.928
120208	133551	65.82	51.96
120208	133651	65.82	51.97
120208	133751	65.755	51.99
120208	133851	65.7	51.98
120208	133951	65.71	51.99
120208	134051	65.87	52
120208	134151	65.839	52.055
120208	134251	65.8	52
120208	134351	65.78	52.04
120208	134451	65.78	52.02
120208	134551	65.79	52.08
120208	134651	65.78	52.075
120208	134751	65.866	52.03
120208	134851	65.8193	52.03
